rotten_tomatoes_link,critic_name,top_critic,publisher_name,review_type,review_score,review_date,review_content,movie_title,movie_info,critics_consensus,content_rating,genres,directors,authors,actors,original_release_date,streaming_release_date,runtime,production_company,tomatometer_status,tomatometer_rating,tomatometer_count,audience_status,audience_rating,audience_count,tomatometer_top_critics_count,tomatometer_fresh_critics_count,tomatometer_rotten_critics_count,drama_or_comedy
m/fat_albert,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2004-12-24,"The movie is sweet and gentle, but not very compelling.",Fat Albert,"Animated character Fat Albert (Kenan Thompson) emerges from his TV universe into the real world, accompanied by Old Weird Harold (Aaron Frazier), Dumb Donald (Marques B. Houston) and Mushmouth (Jermaine Williams). Though the gang is flabbergasted by the modern world, they make new friends, and Albert attempts to help young Doris (Kyla Pratt) become popular. But things get complicated when Albert falls for her older sister, Lauri (Dania Ramirez), and must turn to creator Bill Cosby for advice.",A bland but good-natured adaptation of the cartoon show.,PG,"Comedy, Kids & Family",Joel Zwick,"Bill Cosby, Charles Kipps, Joel Zwick","Kenan Thompson, Kyla Pratt, Shedrack Anderson III, Jermaine Williams, Keith Robinson, Alphonso McAuley, Aaron Frazier, Aaron Andre Frazier, Marques Houston, Dania Ramirez, Omarion, Omari Grandberry, Bill Cosby, Farnsworth Bentley, Aaron Carter, Nick Zano, J. Mack Slaughter, Annie Abbott, Alice Greczyn, Rick Overton, Keri Lynn Pratt, Jeff Leaf, Cody Fleetwood, Russell Cosby, Jeanne Chinn, Raven-Symoné, Jenifer Kinglsey, Alyssa Shafer, Jeremy Suarez, Dylan Cash, Damon Elliot, Jeff Harlan, Earl Billings, Catero Colbert, Charles Duckworth, Ben Diskin, Josh Uhler, Bill Ratner",2004-12-25,2015-11-25,93.0,20th Century Fox,Rotten,23.0,91.0,Spilled,44.0,60246.0,34,21,70,Comedy
m/shaggy_dog,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2006-03-09,"There is an age above which this movie is unnecessary, and it may be in the low double digits.",The Shaggy Dog,"Deputy District Attorney Dave Douglas (Tim Allen) is a workaholic and frequently puts his job before his family. After taking on a case involving an animal laboratory, he becomes infected with a top-secret serum that transforms him into a dog. Life as a canine gives Dave new perspective on the importance of family, but before he can make things right with his wife and kids, he must sniff out the villains responsible for the serum.","This Disney retread has neither inspiration nor originality, but may please moviegoers under the age of ten.",PG,"Action & Adventure, Comedy, Kids & Family","Adam Shankman, Brian Robbins","Cormac Wibberley, Marianne Wibberley, Geoff Rodkey, Jack Amiel, Michael Begler","Tim Allen, Kristin Davis, Robert Downey Jr., Vin Diesel, Jan Devereaux, Zena Grey, Danny Glover, Spencer Breslin, Judge Claire Whittaker, Jane Curtin, Philip Baker Hall, Shawn Pyfrom, Craig Kilborn, Joshua Leonard, Bess Wohl, Jarrad Paul, Janine Edwards, Annabelle Gurwitch, Mark Robert Ellis, Joel David Moore, Jeanette Brox, Kevin Cooney, Jesse Heiman, Rhea Seehorn, Koji Kataoka, Casey Sander, Courtney McLean, Laura Kightlinger, Phaedra Nielson, Eric Winzenried",2006-03-10,2016-05-30,99.0,Buena Vista,Rotten,26.0,105.0,Spilled,39.0,185083.0,33,27,78,Comedy
m/stuart_little,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2000-01-01,"In the book, Stuart works just fine as a character. But movies are an unforgivably literal medium, and the fact is, no live-action movie about Stuart Little can possibly work because he is so much smaller than everyone else!",Stuart Little,"When the Littles go to an orphanage to adopt a new family member, a charming young mouse named Stuart is chosen. While George is initially unwelcoming to his new brother, the family cat, Snowbell, is even less enthusiastic about having a mouse as his ""master"" and plots to get rid of him. Against these difficulties, Stuart resolves to face them with as much pluck, love and courage as he can muster. In doing so, he shows his beloved new family that great things can truly come in small packages.",Critics say Stuart Little is charming with kids and adults for its humor and visual effects.,PG,"Action & Adventure, Comedy, Kids & Family, Science Fiction & Fantasy",Rob Minkoff,"Gregory J. Brooker, M. Night Shyamalan, Greg Brooker","Geena Davis, Hugh Laurie, Michael J. Fox, Jonathan Lipnicki, Estelle Getty, Brian Doyle-Murray, Julia Sweeney, Dabney Coleman, Nathan Lane, Chazz Palminteri, Steve Zahn, David Alan Grier, Bruno Kirby, Jennifer Tilly, Harold Gould, Jeffrey Jones, Jim Doughan, Connie Ray, Stan Freberg, Cynthia Songe, Allyce Beasley, Patrick Thomas O'Brien, Miles Marsico, Jon Polito, Joe Bays, Taylor Negron, Kimmy Robertson, Tannis Benedict, Chuck Blechen, Westleigh Michael Styer, Larry Goodhue",1999-12-17,2012-04-16,92.0,Columbia Pictures,Fresh,67.0,97.0,Spilled,41.0,495303.0,30,65,32,Comedy
m/1018891-short_circuit,Roger Ebert,True,Chicago Sun-Times,Rotten,1.5/4,2000-01-01,"It's basically a kid's movie, and quite possibly the kids will like it. But they'll have to be fairly young kids.",Short Circuit,"After a lightning bolt gives it human emotions and intelligence, a military robot escapes and finds refuge at the home of an animal-loving pacifist (Ally Sheedy).","Amiable and good-natured but also shallow and predictable, Short Circuit is hardly as deep or emotionally resonant as E.T. -- though Johnny Five makes for a charming robot protagonist.",PG,"Comedy, Kids & Family, Science Fiction & Fantasy",John Badham,"Brent Maddock, S.S. Wilson, John Badham","Ally Sheedy, Steve Guttenberg, Fisher Stevens, Austin Pendleton, G.W. Bailey, David Oliver, Brian McNamara, Tim Blaney, Marvin J. McIntyre, John Garber, Penny Stanton, Vernon Weddle, Barbara Tarbuck, Ray Sharkey, Wabei Siyolwe, Tom Lawrence, Fred Slyter, Billy Ray Sharkey, Robert Krantz, Penny Santon, Jan Speck, Marguerite Heppy, Howard Krik, Marjorie Card Hughes, Herb Smith, Jack Thompson, William Striglos, Mary Reckley, Lisa McLean, C. Eleanor Heutschy",1986-05-09,2016-12-06,98.0,Twentieth Century Fox Home Entertainment,Rotten,59.0,37.0,Upright,67.0,168982.0,6,22,15,Comedy
m/new_in_town,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2009-01-29,Am I giving too much away? This is the kind of movie that gives itself away.,New In Town,"Lucy Hill (Renée Zellweger), an ambitious executive, lives the high life in Miami. She loves climbing the corporate ladder as well as all the material goods that her success can buy. When she is offered a temporary assignment to restructure a factory in a backwater town, she eagerly accepts and anticipates a huge promotion in the pipeline. However, what Lucy gets is a life-changing experience and romance with the man of her dreams (Harry Connick Jr.).","Cliched and short on charm, New In Town is a pat genre exercise that fails to bring the necessary heat to its Minnesota setting.",PG,"Comedy, Romance",Jonas Elmer,"Kenneth Rance, C. Jay Cox, Ken Rance","Renée Zellweger, Harry Connick Jr., Rashida Jones, Siobhan Fallon Hogan, J.K. Simmons, Frances Conroy, Michael Patrick O'Brien, James Durham, Robert Small, Wayne Nicklas, Hilary Carroll, Nancy Drake, Ferron Guerreiro, Barbara James Smith",2009-01-30,2015-12-04,96.0,Lionsgate Films,Rotten,28.0,170.0,Spilled,37.0,129417.0,53,47,123,Comedy
m/the_flintstones,Roger Ebert,True,Chicago Sun-Times,Rotten,2.5/4,2000-01-01,Just watching it is fun. Following the plot is not so much fun.,The Flintstones,"Big-hearted, dim-witted factory worker Fred Flintstone (John Goodman) lends money to his friend Barney Rubble (Rick Moranis) so that he can adopt a baby. As thanks, Barney swaps his IQ test for Fred's during an executive search program. After getting promoted, however, Fred becomes embroiled in the dastardly scheming of his boss Cliff Vandercave (Kyle MacLachlan), who enlists his secretary, Sharon Stone (Halle Berry), to seduce Fred, angering Fred's wife, Wilma (Elizabeth Perkins).",The Flintstones wastes beloved source material and imaginative production design on a tepid script that plunks Bedrock's favorite family into a cynical story awash with lame puns.,PG,"Comedy, Kids & Family",Brian Levant,"Tom Parker, Tom S. Parker, Jim Jennewein, Steven E. de Souza, Mitch Markowitz, Gary Ross","John Goodman, Elizabeth Perkins, Rick Moranis, Rosie O'Donnell, Kyle MacLachlan, Halle Berry, Elizabeth Taylor, Dann Florek, Richard Moll, Keyes Irwin ""88"", Jonathan Winters, Harvey Korman, Rick Dees, Sheryl Lee Ralph, Jean Vander Pyl, Nancy Nayor, Jay Leno, Elaine Silver, Irwin Keyes, Melanie Silver, Hlynur Sigurdsson, Marino Sigurdsson, Janice Kent, Jack O'Halloran, Becky Thyre, Rod McCary, B-52'S, Kate Pierson, Fred Schneider, Keith Strickland, Jim Doughan, Laraine Newman, Alan Blumenfeld, Sam Raimi, Mel Blanc, Messiri Freeman, Alex Zimmerman, Tommy Terrell, Tabbie Brown, Andy Steinfeld, Bradford Bryson, Dean Cundey, Lita Stevens, Joseph Barbera, William Hanna",1994-05-25,2014-08-19,92.0,Universal Pictures,Rotten,22.0,46.0,Spilled,24.0,261112.0,10,10,36,Comedy
m/hocus_pocus,Roger Ebert,True,Chicago Sun-Times,Rotten,1/4,2000-01-01,"Watching the movie is like attending a party you weren't invited to, and where you don't know anybody, and they're all in on a joke but won't explain it to you.",Hocus Pocus,"After moving to Salem, Mass., teenager Max Dennison (Omri Katz) explores an abandoned house with his sister Dani (Thora Birch) and their new friend, Allison (Vinessa Shaw). After dismissing a story Allison tells as superstitious, Max accidentally frees a coven of evil witches (Bette Midler, Sarah Jessica Parker, Kathy Najimy) who used to live in the house. Now, with the help of a magical cat, the kids must steal the witches' book of spells to stop them from becoming immortal.","Harmlessly hokey yet never much more than mediocre, Hocus Pocus is a muddled family-friendly effort that fails to live up to the talents of its impressive cast.",PG,"Comedy, Kids & Family, Science Fiction & Fantasy",Kenny Ortega,"Mick Garris, Neil Cuthbert, Kenny Ortega, Greg Beeman, David Kirschner","Bette Midler, Sarah Jessica Parker, Kathy Najimy, Omri Katz, Thora Birch, Vinessa Shaw, Amanda Shepherd, Larry Bagby III, Tobias Jelinek, Stephanie Faracy, Charles Rocket, Doug Jones, Mary Gail Artz, Sean Murray, Barbara Cohen, Karyn Malchus, Kathleen Freeman, Steve Voboril, Norbert Weisser, Penny Marshall, Garry Marshall, Ezra Sutton, Don Yesso, Michael McGrady, Leigh Hamilton, Joe Malone, Teda Bracci, Peggy Holmes, Jason Marsden, Vanna Bonta, Larry Bagby",1993-07-16,2015-11-23,95.0,Buena Vista Pictures,Rotten,37.0,54.0,Upright,71.0,346909.0,15,20,34,Comedy
m/planet_51,Roger Ebert,True,Chicago Sun-Times,Rotten,2.5/4,2009-11-19,"Although not bowling me over, Planet 51 is a jolly and good-looking animated feature in glorious 2-D.",Planet 51,"When astronaut Capt. Charles ""Chuck"" Baker lands on Planet 51, he thinks he is the first life form to set foot there. He gets the surprise of his life when he learns that it is inhabited by little green people who live in an idyllic version of 1950s America -- complete with a universal fear of alien invasion.","Planet 51 squanders an interesting premise with an overly familiar storyline, stock characters, and humor that alternates between curious and potentially offensive.",PG,"Action & Adventure, Animation, Comedy, Kids & Family",Jorge Blanco,Joe Stillman,"Dwayne Johnson, Jessica Biel, Justin Long, Seann William Scott, Gary Oldman, John Cleese",2009-11-20,2012-04-16,91.0,Sony Pictures/TriStar Pictures,Rotten,23.0,109.0,Spilled,40.0,357061.0,31,25,84,Comedy
m/1002310-big_business,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2000-01-01,"People running into each other can be funny, but when they just miss, what are we supposed to do? Slap our knees and say, ""Lord a-mighty, they dern near ran into each other and wouldn't that have been funny!""",Big Business,"Two sets of twins born in the small town of Jupiter Hollow are mixed up by a confused nurse. The parents -- one set poor local farmers, the other wealthy socialites just passing through -- are none the wiser and take the twins home. Now, some 40 years later, the wealthy pair (Bette Midler, Lily Tomlin) are involved in a business deal to buy and close down a factory in Jupiter Hollow. Hearing the news, the other set of twins travels to New York City to try and stop the sale.",,PG,Comedy,Jim Abrahams,"Marc Reid Rubel, Leslie Dixon, Dori Pierson","Bette Midler, Lily Tomlin, Fred Ward, Edward Herrmann, Michele Placido, Daniel Gerroll, Barry Primus, Deborah Rush, Nicolas Coster, Patricia Gaul, J.C. Quinn, Norma MacMillan, Joe Grifasi, John Vickery, Mary Gross, Seth Green, Leo Burmester, Lucy Webb, Roy Brocksmith, Eddie Junior, Ritch Brinkley, Tony Mockus Jr., Carmen Argenziano, Maureen McVerry, Freddie Parnes, Dan Chambers, Lois De Banzie, Fred Parnes, Al Mancini, Nicholas Rutherford, Hunter von Leer, Andy Epper, Andi Chapman, Chick Hearn, Troy Damien, Ryan Francis, Melanie Doctors, Louis Rukeyser, Kymberly Goldman, Michelle Goldman, Traci Goldman, Crystal Field, Everett Quinton, Sandy Davis, Natalie Dolishny, Nancy Lazarus, Shirley Mitchell, Charles J. Middleton, Irving Hellman, Judy Armstrong, Tom La Grua, Matthew James Carlson, Brianne Sommers, Alice Gruenberg, Jane Butenoff, Louise Yaffe, Bobby Bruce, Tommy Holden, Max Raven, Al Novis, Raymond Klein, Charles Middleton, Michael Gross, John Hancock, Lewis Arquette, Howard Feuer, Leo Burmeister",1988-06-10,2016-03-02,97.0,,Rotten,44.0,18.0,Upright,69.0,20086.0,2,8,10,Comedy
m/max_keebles_big_move,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2001-10-05,You will imagine that this is not the kind of movie that holds me spellbound.,Max Keeble's Big Move,"After a depressing first day of school, much-bullied seventh grader Max Keeble finds out that he's moving to a new city in a week. Rather than put up with the normal routine of school, he starts getting revenge on all the people who have picked on him. After creating all kinds of mayhem, Max finds out he's not moving after all and must face up to the consequences of his actions.","Max Keeble may be fun for kids, but bland and unoriginal for adults.",PG,"Comedy, Kids & Family",Tim Hill,"Jonathan Bernstein, Mark Blackwell, James Greer","Alex D. Linz, Larry Miller, Jamie Kennedy, Zena Grey, Josh Peck, Nora Dunn, Robert Carradine, Clifton Davis, Amy Hill, Noel Fisher, Orlando Brown, Amber Valletta, Justin Berfield, Veronica Alicino, Brooke Anne Smith, Greg Lewis, Chely Wright, Jonathan Osser, Cory Hodges, Kyle Sullivan, Jordan Mahome, Myra, Sarah Rush, Chelsea Bond, Shawn Pyfrom, Dennis Haskins, Teddy Lane Jr., Martin Spanjers, Countess Vaughn, Bryan Matsuura, Andy Morrow, Adam Lamberg, Nick Albert, E.J. De La Pena, Ashly Holloway, Brendan Hill, Marcus Toji, Zachary Spound, Alexandra Kaplan, Maximillian Kesmodel, Christian Boewe, Jon Ryckman, Steve Provenzano, Joe Unitas, Romeo Miller, Marcus Hopson, Nicholas T. King, Tony Hawk, Riley Hawk",2001-10-05,2015-07-01,86.0,Buena Vista Pictures,Rotten,29.0,56.0,Spilled,38.0,19879.0,21,16,40,Comedy
m/little_vampire,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2000-01-01,"The costumes are neat, the photography is great -- all the pieces are on hand, but they don't fit.",The Little Vampire,"After he moves to Scotland with his parents, only child Tony (Jonathan Lipnicki) struggles to make friends at his new school. But he is bullied and picked on by the other boys, and has little hope of overcoming his miserable new life. Then he meets Rudolph (Rollo Weeks), a kid vampire with whom Tony becomes very close. But, when Rudolph's life and the future of the vampire race are threatened by a ruthless vampire hunter, Tony must find the courage to save his best friend.","The Little Vampire can't seem to find the right pitch, with its muddled, jumpy script and badly executed mix of cuteness and fright.",PG,"Action & Adventure, Comedy, Kids & Family","Uli Edel, Ulrich Edel","Karey Kirkpatrick, Larry Wilson, Nicholas Waller","Jonathan Lipnicki, Richard E. Grant, Jim Carter, Alice Krige, Pamela Gidley, Tommy Hinkley, Anna Popplewell, Dean Cook, Rollo Weeks, Ed Stoppard, Elizabeth Berrington, Jake D'Arcy, Iain De Caestecker, Scott Fletcher, Jonathon Lipnicki",2000-10-27,2010-10-01,97.0,New Line Cinema,Rotten,55.0,66.0,Spilled,55.0,52336.0,23,36,30,Comedy
m/new_york_minute,Roger Ebert,True,Chicago Sun-Times,Rotten,1.5/4,2004-05-07,A textbook example of a film created as a 'vehicle' but without any ideas about where the vehicle should go.,New York Minute,"Jane (Ashley Olsen) and Roxy Ryan (Mary-Kate Olsen) are teenage Long Island twins who find themselves on numerous misadventures when they trek into Manhattan on a school day. While the studious Jane intends to give an important speech in hopes of winning a scholarship, the more relaxed and carefree Roxy wants to track down her favorite New York City rock group. Trailing behind them, however, is Max Lomax (Eugene Levy), their school's obsessive truant officer.","Feels more like a calculated product designed to expand the Olsens' brand than an actual movie. Also, it contains ethnic stereotyping and sexual innuendo.",PG,"Action & Adventure, Comedy, Kids & Family","Dennie Gordon, Conrad E. Palmisano","Emily Fox, Adam Cooper, Bill Collage","Ashley Olsen, Mary-Kate Olsen, Eugene Levy, Andy Richter, Riley Smith, Jared Padalecki, Drew Pinsky, Andrea Martin, Darrell Hammond, Jack Osbourne, Simple Plan, Alannah Ong, Mary Bond Davis, Bob Saget, Joey Klein, Neil Crone, Jonathan Wilson, Boyd Banks, Silver Kim, Conrad Bergschneider, Robert Williams, Domenic Cuzzocrea, Dominic Cuzzocrea, Suresh John, Kent Staines, H. Jon Benjamin, Frank Bonsangue, Jo Chim, Lindsay Leese, Pierre Bouvier, Chuck Comeau, Sebastien Lefebvre, David Desrosiers, David Desroisiers, Jeff Stinco, Alison Northcott, Balazs Koos, Trip Phoenix, Philip Drube, Kenny Robinson, Todd Schroeder, Colin Penson, Damon D'Oliveira, Eric Woolfe, Arnold Pinnock, Tasha Ricketts, Warren Belle, Stephanie Samuels, Marsha Garces Williams, Wendy Adeliyi, Donna-Marie Chirstie, Jamila Fleming, Donna-Marie Christie, Shakira Harper, Lurline Lucas, Faustina Owusu-Ansah, John Hemphill, Kathy Laskey, Garen Boyajian, Jazz Mann, Kathleen  Laskey, Maggie Butterfield, Gala Krissy",2004-05-07,2016-04-19,91.0,Warner Bros.,Rotten,11.0,119.0,Spilled,47.0,84036.0,31,13,106,Comedy
m/shaggy_dog,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2006-03-09,"There is an age above which this movie is unnecessary, and it may be in the low double digits.",The Shaggy Dog,"Deputy District Attorney Dave Douglas (Tim Allen) is a workaholic and frequently puts his job before his family. After taking on a case involving an animal laboratory, he becomes infected with a top-secret serum that transforms him into a dog. Life as a canine gives Dave new perspective on the importance of family, but before he can make things right with his wife and kids, he must sniff out the villains responsible for the serum.","This Disney retread has neither inspiration nor originality, but may please moviegoers under the age of ten.",PG,"Action & Adventure, Comedy, Kids & Family","Adam Shankman, Brian Robbins","Cormac Wibberley, Marianne Wibberley, Geoff Rodkey, Jack Amiel, Michael Begler","Tim Allen, Kristin Davis, Robert Downey Jr., Vin Diesel, Jan Devereaux, Zena Grey, Danny Glover, Spencer Breslin, Judge Claire Whittaker, Jane Curtin, Philip Baker Hall, Shawn Pyfrom, Craig Kilborn, Joshua Leonard, Bess Wohl, Jarrad Paul, Janine Edwards, Annabelle Gurwitch, Mark Robert Ellis, Joel David Moore, Jeanette Brox, Kevin Cooney, Jesse Heiman, Rhea Seehorn, Koji Kataoka, Casey Sander, Courtney McLean, Laura Kightlinger, Phaedra Nielson, Eric Winzenried",2006-03-10,2016-05-30,99.0,Buena Vista,Rotten,26.0,105.0,Spilled,39.0,185083.0,33,27,78,Comedy
m/son_of_the_mask,Roger Ebert,True,Chicago Sun-Times,Rotten,1.5/4,2005-02-18,"What we basically have here is a license for the filmmakers to do whatever they want to do with the special effects, while the plot, like Wile E. Coyote, keeps running into the wall.",Son of the Mask,"A cartoonist and family man, Tim Avery (Jamie Kennedy) lives a peaceful existence with his wife, Tonya (Traylor Howard), as well as their infant son and dog. When the curious canine finds a mask with mystical properties, both dog and baby create chaos with its powers. While Tim and Tonya try to contain the damage, the sly Norse god Loki (Alan Cumming) comes looking for the artifact, resulting in more mishaps that ultimately incur the wrath of the deity's powerful father, Odin (Bob Hoskins).","Overly frantic, painfully unfunny, and sorely missing the presence of Jim Carrey.",PG,"Comedy, Science Fiction & Fantasy",Lawrence Guterman,"Lance Khazei, Lawrence Guterman","Jamie Kennedy, Alan Cumming, Bob Hoskins, Traylor Howard, Ben Stein, Steven Wright, Peter Flett, Andy Bear, Kal Penn, Magda Szubanski, Victoria Thaine, Ryan Falconer, Liam Falconer, Jeanette Cronin, Simon Maiden, Damon Herriman, Duncan Young",2005-02-18,2013-03-20,95.0,New Line Cinema,Rotten,6.0,105.0,Spilled,16.0,38645.0,31,6,99,Comedy
m/big_top_pee_wee,Roger Ebert,True,Chicago Sun-Times,Rotten,2/4,2000-01-01,"Big Top Pee-wee is as guileless and cheerful as Pee-wee's first movie, Pee-wee's Big Adventure, but it's not as magical.",Big Top Pee-wee,"Playful Pee-wee Herman (Paul Reubens) operates a fantastical farm with talking animals and hot-dog trees. One day, after a giant tornado hits, Pee-wee finds a circus has landed in his yard. He befriends the manager, Mace Montana (Kris Kristofferson), and develops a crush on a trapeze performer (Valeria Golino), even though he already has a fiancée (Penelope Ann Miller). Pee-wee tries to excite the town about the new circus, but most of the residents want it gone and harass Pee-wee because of it.","Its endearingly oddball lead character gives it his all, but Big Top Pee-Wee simply lacks the whimsical magic of its predecessor.",PG,Comedy,Randal Kleiser,"Paul Reubens, George McGrath","Paul Reubens, Penelope Ann Miller, Valeria Golino, Kris Kristofferson, Randy Wayne White, Terrence Mann, Susan Tyrrell, Albert Henderson, Jack Murdock, Mary Jackson, David Byrd, Frances Bay, Leo Gordon, Mihaly ""Michu"" Meszaros, Anne Seymour, Stephanie Hodge, Carol Infield Siff, Kenneth Tobey, Jay Robinson, Helen Siff, Eve Smith, Franco Columbu, Vance Colvig, Matthias Hues, Benicio Del Toro, Kevin Peter Hall, Lynne Marie Stewart, John Sherrod, Joey Arias, Bunny Summers, Dustin Diamond",1988-07-22,2013-08-01,86.0,Paramount Home Video,Rotten,35.0,20.0,Spilled,30.0,30013.0,1,7,13,Comedy
m/1190964-imagine_that,Roger Ebert,True,Chicago Sun-Times,Rotten,2.5/4,2009-06-11,Imagine That is amusing without ever being break-out funny.,Imagine That,"Like many busy professionals, Evan Danielson (Eddie Murphy) is so focused on his career that quality time with his young daughter, Olivia (Yara Shahidi), has fallen by the wayside. When an important promotion is suddenly within reach, stressed-out Evan starts to fall apart while trying to fend off his company rival (Thomas Haden Church). But when little Olivia introduces him to the inhabitants of her imaginary land, Evan rediscovers his inner child and finds the answers to all his problems.","Despite a promising turn by newcomer Yara Shahidi, Imagine That is another pedestrian family comedy that squanders Eddie Murphy's comedic talents.",PG,Comedy,Karey Kirkpatrick,"Chris Matheson, Ed Solomon, Karey Kirkpatrick","Eddie Murphy, Yara Shahidi, Martin Sheen, Nicole Ari Parker, Thomas Haden Church, Ronny Cox, DeRay Davis, Bobb'e J. Thompson, James Patrick Stuart, Vanessa L. Williams, Stephen Rannazzisi, Yari Shahidi, Lauren Weedman",2009-06-12,2017-01-02,107.0,Paramount Studios,Rotten,40.0,119.0,Spilled,40.0,263836.0,34,48,71,Comedy
m/nacho_libre,Roger Ebert,True,Chicago Sun-Times,Rotten,1.5/4,2006-06-16,It takes some doing to make a Jack Black comedy that doesn't work. But Nacho Libre does it.,Nacho Libre,"Ignacio (Jack Black), or Nacho to his friends, works as a cook in the Mexican monastery where he grew up. The monastery is home to a host of orphans whom Nacho cares for deeply, but there is not much money to feed them properly. Nacho decides to raise money for the children by moonlighting as a Lucha Libre wrestler with his partner Esqueleto (Héctor Jiménez), but since the church forbids Lucha, Nacho must disguise his identity.","At times hilarious, but other times offensive, Director Jared Hess is unable to recapture the collective charisma of his Napoleon characters, instead relying on a one-joke concept that runs out of steam. Sure to entertain the adolescents, however.",PG,"Comedy, Documentary, Kids & Family",Jared Hess,"Jared Hess, Jerusha Hess, Mike White","Jack Black, Héctor Jiménez, Ana de la Reguera, Richard Montoya, Darius Rose, Moises Arias, Eduardo Gómez, Diego Eduardo Gomez, Hector Jiminez, Carlos Maycotte, Carlos A. Montoya, Cesar Gonzalez, Rafael Montalvo, Julio Sandoval, Juilo Sandoval, Ventura 'Tigre Hispano' Lahoz, Enrique Muñoz, Felipe Jesús, Carla Jimenez, Agustín Rey, Hernández 'Terror Chino', Troy Gentile, Julio Escalero, Peter Stormare, Augustín 'Rigo' Rey, Lauro Chartrand, Filiberto Estrella, Jorge Valdés García, Craig Williams, Brett Chan, Mike Ching, Armando 'Mucha Crema' Gaytan, Abelardo Hernandez, Rafael González López, Antonio Salazar Gómez, Albert M. Madrid, Armando Tapia, Filberto Estrella Calderón, René Campero, Lisa Owen, Leobardo Magadan, Jorge Valdez García, Zenaido Avendaño, Ignacio Gonzalez Camarena, Abelardo 'El Pandita' Hernádez, Emiliano 'Dalia Negra' Quiroga, Ricardo 'Caballero de la Muerte' Castillo, Donald Chambers, Luis García Randón, Gerson Virgen López, Carlos César Caballero, Feliciano Ramos Mendoza, Carlos Acosta 'El Mimo' Barroso, Ignacio González 'Iñaqui Goci' Carmarena, Alfonso 'Pompin' Ramirez, Miguel Angel Bonequi Trujillo, Aaron Yamir Ramírez Esobar, Rodolfo García Merino, Maria Gonzalez, Cristóbal Puente, Rosenda Hernádez, Joaquín Luis Jiménez, Ismael García y su Trio, Dominick Kurek, Marc Mann, Pete Anthony, Blake Neely",2006-06-16,2013-08-01,91.0,Paramount Pictures,Rotten,40.0,166.0,Spilled,54.0,417327.0,38,66,100,Comedy
m/real_life,Roger Ebert,True,Chicago Sun-Times,Rotten,1/4,2019-05-16,"A great idea. But the movie that Albert Brooks has made from it, alas, gets most of its laughs in the first 10 minutes, slides into a long middle stretch of repetitive situations and ends on a note of embarrassing hysteria.",Real Life,"Filmmaker Albert Brooks wants to create a documentary that will get to the very heart of what it means to be an American family. To that end, he persuades the Yeagers of Phoenix, Ariz., to let him and his camera crew document virtually every moment of their waking lives. What's supposed to be a cinematic presentation of reality, however, soon becomes something quite different, as Brooks can't stop himself from comically interfering in their lives.",,PG,Comedy,Albert Brooks,"Monica Johnson, Albert Brooks, Harry Shearer","Albert Brooks, Charles Grodin, Frances Lee McCain, Dick Haynes, Matthew Tobin, J.A. Preston, Mort Lindsey, Joseph Schaffler, Phyllis Quinn, James Ritz, James L. Brooks, Zeke Manners, Lisa Urette, Robert Stirrat, Dudley DeZonia, Barbara DeZonia, Carolyn Silas, Adam Grant, Belle Richter, Jerry Jensen, Michele Grace, Thelma Bernstein, Johnny Haymer, Nudie, Charles H. Reid, Susan Clark, Ward Rodgers, David Spielberg, Julie Payne, Jennings Lang, Leo McElroy, Carlos Jurado, S.W. Smith, Fred Wolfson, Norman Bartold, Harry Shearer",1979-03-02,2015-10-28,99.0,Paramount Pictures,Fresh,81.0,21.0,Upright,82.0,1267.0,4,17,4,Comedy
